Designator,Mid X,Mid Y,Layer,Rotation
C1,45.43,-6.64,Top,180.0
C2,45.43,-4.18,Top,180.0
R1,56.77,-39.92,Top,90.0
R2,53.29,-30.12,Top,180.0
R3,44.96,24.16,Top,90.0
R4,58.30,38.71,Top,0.0
R5,59.79,-39.92,Top,90.0
R6,47.59,24.16,Top,270.0
R7,58.30,41.25,Top,180.0
R8,58.45,-35.83,Top,90.0
R10,57.77,-30.52,Top,90.0
U1,57.08,-24.88,Top,270.0
